agencia,sitio_web,nombre_contacto,cargo_contacto,linkedin_contacto,email,telefono_whatsapp,num_empleados_aprox,menciona_prestashop,tiene_casos_ecommerce,menciona_bsale,sector_clientes_principal,fit_score_1_5,canal_contacto,fecha_primer_contacto,estado,fecha_proximo_paso,notas
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
,,,,,,,,,,,,,,,Por contactar,,
